subject_id,survey_id,image_url,data_description,galaxy_description,RA,DEC,redshift,n_class,p_smooth,p_featured,p_artifact,p_edgeon,p_notedgeon,p_spiral,p_notspiral,p_ring,p_lens,p_disturbed,p_irregular,p_other,p_merger,p_dustlane,p_clumpy,p_notclumpy
AHZ10005dp,13042331,http://zoo-hst.s3.amazonaws.com/13042331.jpg,the AEGIS dataset in GZ: Hubble,edge-on disk,215.158804,53.1046527,0.27,139,0.11799998953938484,0.8650000095367432,0.017,0.7145548782687782,0.0,0.0,0.0,0.040128,0.0080079995,0.015928,0.0080079995,0.0080079995,0.0,0.0080079995,0.03892500197589399,0.8260749946713446
AHZ2001jf3,20185818,http://zoo-hst.s3.amazonaws.com/20185818.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.642604,2.7257034,0.39,52,0.20699998643249273,0.7860000133514404,0.007,0.5686713702924148,0.016381480260086338,0.0,0.016381480260086338,0.0,0.0,0.0208,0.0,0.062400002,0.0,0.0208,0.0416580002157092,0.7443420336322788
AHZ2000nhl,20079815,http://zoo-hst.s3.amazonaws.com/20079815.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.5724561,2.2379646,0.11,45,0.2200000286102295,0.7799999713897705,0.0,0.0,0.5512103705875396,0.5131768518629484,0.038033514617753984,0.14606,0.048776,0.0,0.0,0.024388,0.0,0.048776,0.07331999480009088,0.7066799882125849
AHZ2001h3m,20178054,http://zoo-hst.s3.amazonaws.com/20178054.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.0339303,2.7187698,0.12,46,0.046000005677342415,0.9309999942779541,0.023,0.06344690765419693,0.7825118400588164,0.7613840125414831,0.02112782022962379,0.023715,0.023157,0.06975,0.023157,0.06975,0.0,0.06975,0.022344000056892632,0.9086560046257972
AHZ2000jh0,20065551,http://zoo-hst.s3.amazonaws.com/20065551.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.1622234,1.9915755,0.12,44,0.023000016808509827,0.9089999794960022,0.068,0.020491768218452933,0.6198759558068107,0.6198759558068107,0.0,0.024375,0.0,0.04875,0.0,0.0975,0.0,0.024375,0.2045249899685384,0.7044749624371534
AHZ200105g,20122171,http://zoo-hst.s3.amazonaws.com/20122171.jpg,the COSMOS dataset in GZ: Hubble,edge-on disk,149.9572919,2.4383453,0.36,49,0.23600002564489841,0.7519999742507935,0.012,0.5168706063120744,0.0,0.0,0.0,0.021889,0.0,0.043364998,0.021889,0.087143,0.239127,0.0,0.06467199998188011,0.6873279574604041
AHZ2000o9j,20082373,http://zoo-hst.s3.amazonaws.com/20082373.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.4868656,2.2308166,0.22,49,0.0,0.9950000001117587,0.005,0.0,0.9672544233289618,0.9672544233289618,0.0,0.046593003,0.0,0.023157,0.0,0.16265701,0.046593003,0.0,0.022885000047050415,0.9721149982113764
AHZ2000ry7,20094653,http://zoo-hst.s3.amazonaws.com/20094653.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.057214,2.20589,0.18,42,0.03999996930360794,0.8820000290870667,0.078,0.0,0.7094667351652859,0.6867637959186956,0.022702936603620723,0.0,0.056364,0.0,0.0,0.253272,0.056364,0.0,0.07761600213909148,0.8043840269479752
AHZ400000k,90002504,http://zoo-hst.s3.amazonaws.com/90002504.jpg,the GEMS dataset in GZ: Hubble,edge-on disk,53.3489833,-27.9712996,0.22,137,0.14500002283602953,0.8489999771118164,0.006,0.6491475804052353,0.03273012963485025,0.006546026024513438,0.026184104098053752,0.038576998,0.0075149997,0.0,0.0,0.0,0.0,0.45490798,0.045845999953240124,0.8031539613447194
AHZ2000h0m,20057094,http://zoo-hst.s3.amazonaws.com/20057094.jpg,the COSMOS dataset in GZ: Hubble,featured,150.4334773,2.0626649,0.18,50,0.22400000505149364,0.7549999952316284,0.021,0.0,0.522712915951097,0.20594888564449598,0.31676403030660105,0.57102,0.02149,0.0,0.0,0.0,0.0,0.02149,0.06266499721914531,0.6923349923872948
AHZ2001drv,20167138,http://zoo-hst.s3.amazonaws.com/20167138.jpg,the COSMOS dataset in GZ: Hubble,spiral,150.516529,2.7761441,0.22,51,0.041000010445714,0.9359999895095825,0.023,0.0,0.8384238682455595,0.8006947801818014,0.03772907557026888,0.35478,0.021024,0.0,0.0,0.04161,0.0,0.021024,0.04024800091576575,0.8957520060281752
